color_bbox_mean_r,color_bbox_mean_g,color_poly_mean_b,color_poly_std_b,hsv_bbox_mean_h,hsv_bbox_mean_s,hsv_poly_mean_h,hsv_poly_mean_s,hsv_poly_mean_v,color_bbox_entropy,color_poly_entropy,ir_cluster,level2_class
73.836,45.951,123.604,16.302,129.884,92.202,30.24,16.683,131.608,6.112,5.555,141.76,Dark oil
73.813,45.87,123.651,16.165,131.232,92.272,28.86,16.946,131.783,6.115,5.58,141.83,Dark oil
73.763,45.896,123.633,16.389,130.431,92.137,29.79,16.893,131.683,6.122,5.568,141.78,Dark oil
73.908,45.875,123.484,16.243,130.25,92.636,30.647,17.102,131.677,6.116,5.567,141.76,Dark oil
73.794,45.9,123.891,16.237,130.441,92.619,29.98,16.601,131.833,6.115,5.559,141.82,Dark oil
73.848,45.897,123.466,16.147,129.659,92.498,30.335,17.17,131.762,6.116,5.553,141.79,Dark oil
73.753,45.954,123.752,16.257,128.762,92.017,30.761,16.404,131.594,6.126,5.566,141.74,Dark oil
73.81,45.891,123.628,16.199,131.825,92.312,29.725,17.048,131.777,6.113,5.581,141.82,Dark oil
73.753,45.933,123.411,16.145,130.828,91.927,31.519,17.332,131.762,6.119,5.565,141.78,Dark oil
73.864,45.828,123.88,16.163,131.1,92.726,30.752,16.305,131.649,6.107,5.55,141.76,Dark oil
73.772,45.907,123.879,16.159,129.766,92.343,28.681,16.437,131.759,6.114,5.589,141.83,Dark oil
73.901,45.94,123.621,16.155,127.314,92.3,29.687,16.939,131.699,6.12,5.569,141.78,Dark oil
73.879,45.878,123.629,16.317,129.961,92.445,28.393,16.643,131.616,6.118,5.567,141.75,Dark oil
73.863,45.915,123.732,16.282,130.45,92.448,30.279,16.76,131.691,6.121,5.582,141.82,Dark oil
73.853,45.926,123.652,16.034,130.812,92.138,30.105,16.753,131.74,6.119,5.589,141.75,Dark oil
73.857,45.912,123.627,16.446,129.479,92.581,31.76,16.795,131.592,6.116,5.551,141.74,Dark oil
73.84,45.849,123.815,16.216,131.509,92.711,30.11,16.346,131.603,6.114,5.559,141.82,Dark oil
73.859,45.94,123.773,16.159,130.117,92.303,30.47,16.451,131.616,6.11,5.564,141.76,Dark oil
73.875,45.867,123.563,16.411,129.735,92.551,31.3,16.915,131.623,6.116,5.575,141.72,Dark oil
73.842,45.873,123.747,16.315,131.184,92.365,29.815,16.57,131.623,6.12,5.561,141.82,Dark oil
73.82,45.913,123.656,16.44,129.517,92.444,30.935,16.689,131.61,6.123,5.571,141.77,Dark oil
73.913,45.872,123.528,16.219,127.901,92.57,30.677,17.137,131.798,6.119,5.552,141.71,Dark oil
73.806,45.865,123.925,16.253,131.761,92.623,31.148,16.525,131.795,6.109,5.579,141.82,Dark oil
73.893,45.875,123.544,16.451,128.503,92.414,29.343,17.242,131.816,6.115,5.579,141.75,Dark oil
73.896,45.878,123.633,16.071,129.704,92.443,29.059,16.877,131.757,6.114,5.552,141.71,Dark oil
73.909,45.837,123.941,16.106,131.256,92.831,29.407,16.347,131.748,6.113,5.562,141.81,Dark oil
73.856,45.853,123.686,16.202,130.995,92.542,30.663,16.576,131.636,6.115,5.565,141.76,Dark oil
73.941,45.898,123.736,16.024,130.005,92.214,30.292,16.727,131.808,6.12,5.544,141.7,Dark oil
73.899,45.962,123.896,16.217,130.88,92.483,30.555,16.611,131.798,6.114,5.585,141.81,Dark oil
73.887,45.89,123.469,16.376,131.076,92.244,28.654,17.344,131.85,6.122,5.583,141.72,Dark oil
73.858,45.905,123.645,16.217,128.302,92.296,29.994,16.95,131.797,6.113,5.574,141.72,Dark oil
73.758,45.933,124.054,16.233,130.679,92.359,29.791,16.392,131.86,6.121,5.556,141.82,Dark oil
73.821,45.958,123.718,16.179,128.685,92.327,30.089,16.942,131.83,6.12,5.558,141.74,Dark oil
73.9,45.909,123.733,16.342,129.16,92.299,31.102,17.16,131.897,6.122,5.558,141.71,Dark oil
73.813,45.939,124.046,16.146,132.713,92.225,28.175,16.285,131.859,6.116,5.573,141.83,Dark oil
73.816,45.924,123.82,16.322,129.449,92.195,30.883,16.651,131.782,6.119,5.574,141.73,Dark oil
73.996,45.913,123.854,16.34,128.698,92.775,30.903,16.873,131.907,6.115,5.569,141.73,Dark oil
73.891,45.915,124.01,16.225,131.69,92.502,29.554,16.552,131.902,6.118,5.577,141.82,Dark oil
73.893,45.929,123.845,16.327,130.7,92.434,31.413,16.735,131.86,6.117,5.564,141.73,Dark oil
73.953,45.829,123.775,16.308,130.748,92.675,31.37,16.736,131.81,6.109,5.583,141.7,Dark oil
73.853,45.961,124.012,16.279,130.648,92.402,29.873,16.325,131.824,6.109,5.565,141.8,Dark oil
73.885,45.935,123.719,16.128,128.611,92.013,30.966,16.845,131.815,6.111,5.578,141.74,Dark oil
73.82,45.91,123.605,16.184,128.607,92.505,30.161,16.949,131.767,6.117,5.567,141.72,Dark oil
73.942,45.888,123.771,16.063,130.922,92.865,29.28,17.051,131.981,6.119,5.581,141.81,Dark oil
73.893,45.908,123.679,16.223,129.554,92.691,30.646,16.821,131.735,6.119,5.552,141.74,Dark oil
